lead_id,business_name,email,phone,channel,source,status,to,timestamp,lifecycle_stage,last_blast_at
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,email,unknown,delivered,tjautoclinic@gmail.com,2026-04-17T21:30:00Z,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,whatsapp,unknown,sent,+12265017777,2026-04-17T21:32:00Z,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,sms,unknown,sent,+12265017777,2026-04-17T21:31:00Z,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,call,unknown,completed,+12265017777,2026-04-17T21:33:00Z,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,email,unknown,sent,tjautoclinic@gmail.com,2026-04-17T19:15:30.033948+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,sms,unknown,sent,+12265017777,2026-04-17T19:15:30.033948+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,whatsapp,unknown,sent,12265017777,2026-04-17T19:15:30.033948+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,call,unknown,queued,+12265017777,2026-04-17T19:15:30.033948+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T19:38:43.180308+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,engagement_nudge,unknown,sent,12265017777,2026-04-17T19:38:48.882406+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T19:39:45.893486+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T19:39:46.248690+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T19:40:13.213279+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T19:41:02.739740+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T20:02:20.843618+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T20:08:18.849770+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T20:09:38.949866+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T20:23:40.760036+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,report_view,unknown,,,2026-04-17T20:24:44.758847+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,website_generated,unknown,,,2026-04-17T20:58:00.208656+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,whatsapp,unknown,,,,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,website_campaign,unknown,,,2026-04-17T21:18:16.001858+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,website_campaign,unknown,,,2026-04-17T21:25:48.534986+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,sample_view,unknown,,,2026-04-17T21:59:57.584696+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,sample_view,unknown,,,2026-04-17T22:02:00.256407+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,sample_view,unknown,,,2026-04-17T22:04:42.112491+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,sample_view,unknown,,,2026-04-17T22:04:42.219461+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,sample_view,unknown,,,2026-04-17T22:04:42.919343+00:00,following_up,2026-04-17T19:15:30.033948+00:00
tj-auto-clinic-001,TJ Auto Clinic Limited,tjautoclinic@gmail.com,+12265017777,sample_engagement_nudge,unknown,sent,12265017777,2026-04-17T22:04:44.142762+00:00,following_up,2026-04-17T19:15:30.033948+00:00
